id,title,description,price,category,target_gender,material,country_of_origin,rating,review_count,color,size_options,returnable,discount_percent,stock_quantity,sku,brand,warranty_months,in_stock
1,Red Cotton T-Shirt,Soft organic cotton t-shirt for men available in S/M/L/XL,499,clothing,Men,Cotton,India,4.2,180,Red,"S,M,L,XL",Yes,25,62,SKU-CLO-0001,Fabindia,0,Yes
2,Blue Denim Jeans,Regular fit blue jeans with 2% elastane stretch for comfort,1299,clothing,Men,Denim,Bangladesh,4.4,320,Blue,"28,30,32,34,36",Yes,25,145,SKU-CLO-0002,Zara,0,Yes
7,Silk Saree,Handwoven Banarasi silk saree with golden zari border and blouse piece,5499,clothing,Women,Silk,India,4.8,45,Golden,Free Size,No,5,76,SKU-CLO-0007,Manyavar,0,Yes
9,Running Shoes,Breathable lightweight running shoes with memory foam sole and anti-slip grip,2599,clothing,Unisex,Mesh+Foam,Vietnam,4.3,210,White,"6,7,8,9,10,11",Yes,25,384,SKU-CLO-0009,Peter England,0,Yes
21,Formal Shirt,Slim fit cotton formal shirt with wrinkle-resistant finish,1199,clothing,Men,Cotton,India,4.1,150,White,"S,M,L,XL,XXL",Yes,0,307,SKU-CLO-0021,Biba,0,Yes
22,Kurti Set,Printed cotton kurti with palazzo pants,1499,clothing,Women,Cotton,India,4.5,95,Multicolor,"XS,S,M,L,XL",Yes,0,20,SKU-CLO-0022,Manyavar,0,Yes
23,Woolen Sweater,Cable-knit woolen pullover sweater for winters,1899,clothing,Unisex,Wool,India,4.3,70,Grey,"S,M,L,XL",Yes,5,124,SKU-CLO-0023,Peter England,0,Yes
24,Track Pants,Moisture-wicking polyester track pants with drawstring waist,799,clothing,Men,Polyester,China,4.0,200,Black,"S,M,L,XL,XXL",Yes,20,18,SKU-CLO-0024,Peter England,0,Yes
25,Ethnic Kurta,Cotton men's ethnic kurta with embroidery for festive occasions,1299,clothing,Men,Cotton,India,4.6,85,Cream,"S,M,L,XL",Yes,5,371,SKU-CLO-0025,Peter England,0,Yes
26,Sports Bra,High-impact sports bra with padded cups and wide straps,999,clothing,Women,Nylon+Spandex,India,4.4,130,Black,"XS,S,M,L,XL",Yes,15,117,SKU-CLO-0026,W,0,Yes
